fles,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
/comcontent/views/category/view.html.php,,381,0,381
/views/featured/tmpl/defaultitem.php,53,22,22,0
/comcontent/views/featured/view.feed.php,140,10,10,0
components/comcontent/views/form/tmpl/edit.php,18,2,1,1
components/comcontent/views/form/view.html.php,151,10,10,0
components/comfinder/controller.php,18,2,1,1
/comfinder/controllers/suggestions.json.php,69,3,3,0
components/comfinder/finder.php,92,13,13,0
components/comfinder/helpers/html/filter.php,128,1,0,1
components/comfinder/helpers/html/query.php,32,1,1,0
components/comfinder/models/search.php,116,4,2,2
/comfinder/views/search/tmpl/default.php,61,1,1,0
/views/search/tmpl/defaultresult.php,92,1,1,0
components/comfinder/views/search/view.feed.php,47,1,1,0
components/comfinder/views/search/view.html.php,70,6,4,2
/comfinder/views/search/view.opensearch.php,65,3,2,1
components/commailto/controller.php,96,29,24,5
components/commailto/mailto.php,58,13,11,2
components/commailto/views/mailto/view.html.php,53,1,1,0
components/commailto/views/sent/view.html.php,34,1,1,0
components/commedia/controller.php,56,3,3,0
components/commedia/media.php,31,1,1,0
components/comnewsfeeds/controller.php,44,2,0,2
components/comnewsfeeds/models/categories.php,147,9,8,1
components/comnewsfeeds/models/category.php,45,2,1,1
components/comnewsfeeds/models/newsfeed.php,60,2,1,1
components/comnewsfeeds/newsfeeds.php,17,6,5,1
/views/categories/tmpl/default.php,140,4,1,3
/comnewsfeeds/views/categories/view.html.php,34,4,1,3
/comnewsfeeds/views/category/tmpl/default.php,173,4,1,3
/comnewsfeeds/views/category/view.html.php,60,4,1,3
/comnewsfeeds/views/newsfeed/tmpl/default.php,142,4,1,3
components/comsearch/controller.php,160,4,1,3
components/comsearch/models/search.php,160,4,1,3
components/comsearch/search.php,147,4,1,3
/comsearch/views/search/tmpl/default.php,152,4,1,3
components/comsearch/views/search/view.html.php,32,4,1,3
/comsearch/views/search/view.opensearch.php,44,4,1,3
components/comusers/controller.php,63,4,1,3
components/comusers/controllers/profile.php,39,4,1,3
components/comusers/controllers/registration.php,92,4,1,3
components/comusers/controllers/remind.php,32,4,1,3
components/comusers/controllers/reset.php,44,4,1,3
components/comusers/controllers/user.php,14,4,1,3
components/comusers/helpers/route.php,92,4,1,3
components/comusers/models/profile.php,92,4,1,3
components/comusers/models/reset.php,165,4,1,3
components/comusers/users.php,53,4,1,3
/comusers/views/login/tmpl/defaultlogin.php,20,4,1,3
components/comusers/views/login/view.html.php,20,4,1,3
components/comusers/views/profile/tmpl/edit.php,75,3,3,0
components/comusers/views/profile/view.html.php,95,4,2,2
/comusers/views/registration/tmpl/default.php,39,5,5,0
/comusers/views/registration/view.html.php,,0,0,0
components/comusers/views/remind/view.html.php,49,3,3,0
components/comusers/views/reset/view.html.php,41,4,2,2
components/comweblinks/controller.php,41,4,2,2
components/comweblinks/models/categories.php,64,6,0,6
components/comweblinks/models/category.php,30,8,0,8
/comweblinks/views/categories/view.html.php,43,44,7,37
/comweblinks/views/category/tmpl/default.php,64,3,1,2
/comweblinks/views/category/view.feed.php,147,44,40,4
/comweblinks/views/category/view.html.php,8,2,2,0
components/comweblinks/views/form/tmpl/edit.php,43,5,2,3
components/comweblinks/views/form/view.html.php,53,2,1,1
components/comweblinks/weblinks.php,34,2,1,1
components/comwrapper/controller.php,41,41,17,24
/comwrapper/views/wrapper/tmpl/default.php,124,41,1,40
/comwrapper/views/wrapper/view.html.php,7,2,1,1
components/comwrapper/wrapper.php,48,33,15,18
includes/defines.php,4,13,5,8
installation/controller.php,186,120,70,50
installation/controllers/setup.php,64,3,1,2
installation/helpers/database.php,226,6,3,3
installation/includes/application.php,5,5,2,3
installation/includes/router.php,9,2,0,2
installation/index.php,9,2,0,2
installation/models/fields/sample.php,9,2,0,2
installation/models/migration.php,10,2,0,2
installation/models/setup.php,56,2,0,2
installation/template/index.php,11,2,0,2
installation/views/complete/view.html.php,31,2,0,2
installation/views/database/view.html.php,5,2,0,2
installation/views/filesystem/view.html.php,5,2,0,2
installation/views/language/view.html.php,5,2,0,2
installation/views/license/view.html.php,5,2,0,2
installation/views/preinstall/view.html.php,5,2,0,2
installation/views/remove/view.html.php,9,2,0,2
installation/views/site/tmpl/default.php,44,4,1,3
installation/views/site/view.html.php,5,2,0,2
libraries/cms.php,147,10,4,6
libraries/cms/cmsloader.php,10,4,1,3
libraries/cms/controller/legacy.php,23,2,0,2
libraries/cms/form/field/captcha.php,25,2,0,2
/form/fieldscms/form/field/helpsite.php,119,4,1,3
/form/fieldscms/form/field/menu.php,137,4,1,3
/fieldscms/form/field/templatestyle.php,72,4,1,3
/form/fieldscms/form/field/user.php,93,2,0,2
libraries/cms/form/rule/captcha.php,45,2,0,2
libraries/cms/language/multilang.php,9,2,0,2
libraries/cms/model/legacy.php,9,2,0,2
libraries/cms/schema/changeitem.php,45,4,1,3
libraries/cms/schema/changeitemsqlazure.php,64,4,1,3
libraries/cms/schema/changeset.php,66,4,1,3
libraries/cms/view/legacy.php,10,6,2,4
libraries/joomla/access/access.php,18,4,1,3
libraries/joomla/access/rule.php,28,4,1,3
libraries/joomla/access/rules.php,12,4,1,3
libraries/joomla/application/base.php,82,4,1,3
libraries/joomla/application/cli.php,52,4,1,3
libraries/joomla/application/cli/daemon.php,70,4,1,3
/joomla/application/component/modelform.php,18,4,1,3
/joomla/application/component/modelitem.php,80,4,1,3
libraries/joomla/application/input.php,65,4,1,3
libraries/joomla/application/input/files.php,35,4,1,3
libraries/joomla/application/menu.php,30,4,1,3
libraries/joomla/application/pathway.php,85,4,1,3
libraries/joomla/base/adapter.php,96,4,1,3
libraries/joomla/base/adapterinstance.php,47,4,1,3
