files,LocFixing,ChurnFxing,AddedFixing,RemovedFixing
plugins/DBStats/Controller.php,247,2,1,1
plugins/DBStats/MySQLMetadataProvider.php,344,49,21,28
plugins/ImageGraph/StaticGraph/GridGraph.php,156,5,3,2
/ImageGraph/StaticGraph/HorizontalBar.php,249,7,6,1
plugins/PrivacyManager/Controller.php,94,9,7,2
plugins/PrivacyManager/PrivacyManager.php,383,2,1,1
plugins/PrivacyManager/ReportsPurger.php,84,2,1,1
/tests/PrivacyManager.test.php,158,2,1,1
plugins/UserSettings/functions.php,125,10,5,5
tests/core/Config.test.php,110,20,6,14
tests/integration/CsvExport.test.php,544,42,34,8
/EcommerceOrderWithItems.test.php,436,12,10,2
tests/integration/NoVisit.test.php,307,45,3,42
tests/simpletest/scorer.php,332,49,27,22
core/DataTable/Array.php,631,34,17,17
core/DataTable/Filter/ColumnDelete.php,212,33,31,2
core/DataTable/Renderer.php,745,23,17,6
plugins/Actions/ArchivingHelper.php,544,4,2,2
plugins/CoreHome/Controller.php,165,49,30,19
plugins/Installation/FormDatabaseSetup.php,35,11,6,5
plugins/MultiSites/API.php,423,42,23,19
plugins/PDFReports/PDFReports.php,158,24,13,11
plugins/Transitions/API.php,429,12,6,6
plugins/Transitions/Transitions.php,376,12,6,6
plugins/UserCountry/Controller.php,382,24,12,12
plugins/UserCountry/GeoIPAutoUpdater.php,469,22,11,11
plugins/UserCountry/LocationProvider.php,71,8,4,4
plugins/UserCountry/LocationProvider/GeoIp.php,149,24,12,12
/UserCountry/LocationProvider/GeoIp/Pecl.php,113,40,20,20
/UserCountry/LocationProvider/GeoIp/Php.php,389,52,26,26
/LocationProvider/GeoIp/ServerBased.php,100,8,4,4
plugins/UserCountry/UserCountry.php,466,111,89,22
/ThousandSitesTwelveVisitsEachOneDay.php,291,142,88,54
tests/PHPUnit/Core/AccessTest.php,213,92,46,46
tests/PHPUnit/Core/ArchiveProcessingTest.php,332,102,51,51
tests/PHPUnit/Core/CommonTest.php,690,63,38,25
tests/PHPUnit/Core/ConfigTest.php,252,4,2,2
/PHPUnit/Core/DataTable/Filter/LimitTest.php,131,12,6,6
