modified_Smelly_Classes,classsize,classtype,BugsafterSmells,BugsbeforeSmells,fixingcommits,codechurn,commitsexhibiting,v2.0.2,v2.0.6,v2.1.3,v2.1.4,v2.2.3,v2.2.4,v2.3.9,v2.3.10,v2.5.0,v2.5.4,v2.5.6,v2.5.7,v2.6.11,v2.7.8,v2.8.8,v2.9.1,v2.9.3,v2.10.9,v2.10.14,v2.10.17,v2.10.19,v3.1.6,v3.3.4,v3.4.8,v3.5.3,v3.6.2
lib/Cake/Model/Datasource/DataSource.php,437,Large,9,1,1,71,1,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Console/ShellDispatcherTest.php,576,Large,9,1,1,76,1,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Model/ModelReadTest.php,8291,Large,30,10,6,732,7,0,0,49,0,0,186,0,0,0,0,0,0,45,0,122,0,0,283,47,0,0,0,0,0,0,0
lib/Cake/Test/Case/Utility/DebuggerTest.php,563,Large,11,4,2,45,3,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Utility/XmlTest.php,853,Large,15,3,3,543,3,0,0,473,0,0,0,0,0,0,0,0,0,31,0,0,0,0,39,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/View/Helper/CacheHelperTest.php,651,Large,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Utility/Xml.php,350,Large,18,4,2,26,2,0,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/View/View.php,1123,Large,20,3,2,51,2,0,0,42,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Error/exceptions.php,525,Large,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/BasicsTest.php,1170,Large,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Model/Datasource/CakeSessionTest.php,730,Large,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Model/Datasource/Database/MysqlTest.php,166,Medium,43,10,4,445,5,0,0,269,0,0,0,0,0,51,40,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Utility/CakeNumberTest.php,510,Large,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Test/Case/Utility/SetTest.php,3565,Large,12,1,1,86,1,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Utility/CakeNumber.php,296,Medium,7,1,1,56,1,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Utility/Set.php,1112,Large,9,1,1,23,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/View/XmlView.php,151,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Configure/IniReader.php,230,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Console/Command/ConsoleShell.php,362,Large,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Console/Command/TestShell.php,432,Large,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Console/ShellDispatcher.php,416,Large,8,3,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
lib/Cake/Controller/Component/Acl/PhpAcl.php,561,Large,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Core/Object.php,18,Small,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Log/CakeLog.php,560,Large,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Model/CakeSchema.php,754,Large,15,2,2,50,2,0,0,0,0,0,0,16,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0
lib/Cake/Model/Datasource/Database/Mysql.php,815,Large,23,3,2,137,2,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
